Date,League,Account,Action,Stash,Item
"22/12/2023 16:29:00","Affliction","ThrarThylnenfallën","modified","$","717× Orb of Alchemy"
"22/12/2023 16:28:59","Affliction","ThrarThylnenfallën","modified","$","218× Orb of Scouring"
"22/12/2023 16:28:57","Affliction","ThrarThylnenfallën","modified","$","248× Orb of Scouring"
"22/12/2023 16:28:57","Affliction","ThrarThylnenfallën","modified","$","737× Orb of Alchemy"
"22/12/2023 16:28:41","Affliction","ThrarThylnenfallën","modified","$","221× Orb of Scouring"
"22/12/2023 16:28:41","Affliction","ThrarThylnenfallën","modified","$","720× Orb of Alchemy"
"22/12/2023 16:27:53","Affliction","ThrarThylnenfallën","modified","D","22× The Chains that Bind"
"22/12/2023 16:27:53","Affliction","ThrarThylnenfallën","modified","$","2266× Orb of Augmentation"
"22/12/2023 16:27:53","Affliction","ThrarThylnenfallën","modified","$","3848× Orb of Transmutation"
"22/12/2023 16:27:53","Affliction","ThrarThylnenfallën","modified","D","6× The Gambler"
"22/12/2023 16:27:52","Affliction","ThrarThylnenfallën","modified","$","3113× Jeweller's Orb"
"22/12/2023 16:27:52","Affliction","ThrarThylnenfallën","modified","$","19× Explorer's Scouting Report"
"22/12/2023 16:27:52","Affliction","ThrarThylnenfallën","modified","$","1569× Orb of Chance"
"22/12/2023 16:27:52","Affliction","ThrarThylnenfallën","modified","$","2111× Armourer's Scrap"
"22/12/2023 16:27:51","Affliction","ThrarThylnenfallën","modified","D","5× Thirst for Knowledge"
"22/12/2023 16:27:51","Affliction","ThrarThylnenfallën","added","D","The Lunaris Priestess"
"22/12/2023 16:27:51","Affliction","ThrarThylnenfallën","modified","$","251× Orb of Scouring"
"22/12/2023 16:27:50","Affliction","ThrarThylnenfallën","modified","$","1458× Chromatic Orb"
"22/12/2023 16:27:50","Affliction","ThrarThylnenfallën","modified","D","14× The Dragon"
"22/12/2023 16:27:50","Affliction","ThrarThylnenfallën","modified","$","3093× Jeweller's Orb"
"22/12/2023 16:27:49","Affliction","ThrarThylnenfallën","modified","$","35918× Rogue's Marker"
"22/12/2023 16:27:49","Affliction","ThrarThylnenfallën","modified","D","21× The Cache"
"22/12/2023 16:27:49","Affliction","ThrarThylnenfallën","modified","D","31× The Realm"
"22/12/2023 16:27:49","Affliction","ThrarThylnenfallën","modified","$","126× Orb of Horizons"
"22/12/2023 16:27:48","Affliction","ThrarThylnenfallën","added","D","The Card Sharp"
"22/12/2023 16:27:48","Affliction","ThrarThylnenfallën","added","M","Underground Sea Map (T16)"
"22/12/2023 16:27:48","Affliction","ThrarThylnenfallën","added","M","Foundry Map (T16)"
"22/12/2023 16:27:47","Affliction","ThrarThylnenfallën","modified","$","623× Cartographer's Chisel"
"22/12/2023 16:27:47","Affliction","ThrarThylnenfallën","modified","$","83× Glassblower's Bauble"
"22/12/2023 16:27:47","Affliction","ThrarThylnenfallën","modified","D","5× Unchained"
"22/12/2023 16:27:46","Affliction","ThrarThylnenfallën","modified","D","3× Fundamental Fossil"
"22/12/2023 16:27:46","Affliction","ThrarThylnenfallën","modified","F","57× Rusted Divination Scarab"
"22/12/2023 16:27:46","Affliction","ThrarThylnenfallën","modified","$","19× Harbinger's Shard"
"22/12/2023 16:27:46","Affliction","ThrarThylnenfallën","modified","D","18× The Encroaching Darkness"
"22/12/2023 16:27:45","Affliction","ThrarThylnenfallën","modified","$","161× Instilling Orb"
"22/12/2023 16:27:45","Affliction","ThrarThylnenfallën","modified","F","89× Timeless Eternal Empire Splinter"
"22/12/2023 16:27:44","Affliction","ThrarThylnenfallën","modified","$","16× Horizon Shard"
"22/12/2023 16:27:44","Affliction","ThrarThylnenfallën","modified","$","1549× Orb of Chance"
"22/12/2023 16:27:44","Affliction","ThrarThylnenfallën","modified","$","188× Orb of Regret"
"22/12/2023 14:27:22","Affliction","ThrarThylnenfallën","modified","$","122× Orb of Horizons"
"22/12/2023 14:27:20","Affliction","ThrarThylnenfallën","modified","$","103× Orb of Horizons"
"22/12/2023 14:27:15","Affliction","ThrarThylnenfallën","removed","M","Superior Pit of the Chimera Map (T16)"
"22/12/2023 12:32:10","Affliction","DrScramble","added","$","Alteration Shard"
"22/12/2023 12:32:10","Affliction","DrScramble","removed","$","9× Alteration Shard"
"22/12/2023 12:32:10","Affliction","DrScramble","modified","$","2771× Orb of Alteration"
"22/12/2023 12:32:09","Affliction","DrScramble","added","$","8× Alchemy Shard"
"22/12/2023 12:32:09","Affliction","DrScramble","removed","$","11× Alchemy Shard"
"22/12/2023 12:32:09","Affliction","DrScramble","modified","$","740× Orb of Alchemy"
"22/12/2023 12:31:29","Affliction","DrScramble","modified","$","2094× Armourer's Scrap"
"22/12/2023 12:31:28","Affliction","DrScramble","modified","F","55× Rusted Divination Scarab"
"22/12/2023 12:31:28","Affliction","DrScramble","added","M","Superior Pier Map (T1)"
"22/12/2023 12:31:26","Affliction","DrScramble","modified","$","1115× Blacksmith's Whetstone"
"22/12/2023 12:31:25","Affliction","DrScramble","modified","$","168× Vaal Orb"
"22/12/2023 12:31:24","Affliction","DrScramble","modified","$","1447× Chromatic Orb"
"22/12/2023 12:31:24","Affliction","DrScramble","modified","$","2770× Orb of Alteration"
"22/12/2023 12:31:24","Affliction","DrScramble","modified","F","37× Sacrifice at Dusk"
"22/12/2023 11:35:24","Affliction","DrScramble","modified","D","4× The Army of Blood"
"22/12/2023 11:35:23","Affliction","DrScramble","modified","$","739× Orb of Alchemy"
"22/12/2023 11:35:23","Affliction","DrScramble","modified","$","2767× Orb of Alteration"
"22/12/2023 11:35:23","Affliction","DrScramble","modified","$","3811× Orb of Transmutation"
"22/12/2023 11:35:22","Affliction","DrScramble","modified","$","1782× Scroll of Wisdom"
"22/12/2023 11:35:22","Affliction","DrScramble","modified","$","1057× Orb of Fusing"
"22/12/2023 11:18:46","Affliction","DrScramble","modified","$","82× Glassblower's Bauble"
"22/12/2023 11:18:46","Affliction","DrScramble","modified","$","248× Orb of Scouring"
"22/12/2023 11:18:45","Affliction","DrScramble","added","D","The Poet"
"22/12/2023 11:18:45","Affliction","DrScramble","modified","D","32× Assassin's Favour"
"22/12/2023 11:18:42","Affliction","DrScramble","modified","D","43× Rain of Chaos"
"22/12/2023 11:18:42","Affliction","DrScramble","modified","$","77× Chaos Orb"
"22/12/2023 11:18:41","Affliction","DrScramble","modified","$","156× Orb of Binding"
"22/12/2023 11:18:41","Affliction","DrScramble","modified","E","6× Weeping Essence of Greed"
"22/12/2023 11:18:41","Affliction","DrScramble","modified","$","2092× Armourer's Scrap"
"22/12/2023 11:18:41","Affliction","DrScramble","modified","$","1112× Blacksmith's Whetstone"
"22/12/2023 11:18:40","Affliction","DrScramble","modified","$","3808× Orb of Transmutation"
"22/12/2023 11:18:39","Affliction","DrScramble","modified","$","1781× Scroll of Wisdom"
"22/12/2023 11:18:39","Affliction","DrScramble","modified","$","557× Portal Scroll"
"22/12/2023 11:18:39","Affliction","DrScramble","modified","$","1442× Chromatic Orb"
"22/12/2023 09:36:11","Affliction","DrScramble","modified","$","3085× Jeweller's Orb"
"22/12/2023 09:36:03","Affliction","DrScramble","modified","$","3066× Jeweller's Orb"
"22/12/2023 09:35:05","Affliction","DrScramble","added","U","Doedre's Tenure Velvet Gloves"
