Date,Id,League,Account,Action,Stash,Item
"2024-09-19T23:07:15.000Z",3192271098,"Settlers","ThrarThylnenfallën","modified","$","28× Tainted Jeweller's Orb"
"2024-09-19T23:07:15.000Z",3192271095,"Settlers","ThrarThylnenfallën","added","17","level 1 0% Awakened Elemental Focus Support"
"2024-09-19T23:07:11.000Z",3192271033,"Settlers","ThrarThylnenfallën","added","$","Omen of the Jeweller"
"2024-09-19T23:07:09.000Z",3192271021,"Settlers","ThrarThylnenfallën","modified","F","56× Ritual Scarab of Wisps"
"2024-09-19T23:07:09.000Z",3192271020,"Settlers","ThrarThylnenfallën","modified","F","46× Cartography Scarab of Risk"
"2024-09-19T23:07:09.000Z",3192271018,"Settlers","ThrarThylnenfallën","added","M","Cemetery Map (T16)"
"2024-09-19T23:07:08.000Z",3192271013,"Settlers","ThrarThylnenfallën","added","M","Coves Map (T16)"
"2024-09-19T23:07:08.000Z",3192271008,"Settlers","ThrarThylnenfallën","added","M","Toxic Sewer Map (T16)"
"2024-09-19T22:57:46.000Z",3192261886,"Settlers","ThrarThylnenfallën","added","4","Rift Whorl Breach Ring"
"2024-09-19T22:57:43.000Z",3192261856,"Settlers","ThrarThylnenfallën","modified","$","3510× Orb of Chance"
"2024-09-19T22:57:43.000Z",3192261852,"Settlers","ThrarThylnenfallën","modified","$","1951× Chromatic Orb"
"2024-09-19T22:57:42.000Z",3192261846,"Settlers","ThrarThylnenfallën","modified","$","49996× Rogue's Marker"
"2024-09-19T22:57:42.000Z",3192261836,"Settlers","ThrarThylnenfallën","modified","F","72× Timeless Vaal Splinter"
"2024-09-19T22:57:42.000Z",3192261828,"Settlers","ThrarThylnenfallën","modified","$","2133× Blacksmith's Whetstone"
"2024-09-19T22:57:41.000Z",3192261822,"Settlers","ThrarThylnenfallën","modified","$","440× Orb of Binding"
"2024-09-19T22:57:41.000Z",3192261821,"Settlers","ThrarThylnenfallën","modified","$","1831× Orb of Alteration"
"2024-09-19T22:57:41.000Z",3192261813,"Settlers","ThrarThylnenfallën","modified","F","2× Mortal Rage"
"2024-09-19T22:57:41.000Z",3192261807,"Settlers","ThrarThylnenfallën","modified","D","11× The Sun"
"2024-09-19T22:57:40.000Z",3192261798,"Settlers","ThrarThylnenfallën","modified","F","46× Beyond Scarab of Haemophilia"
"2024-09-19T22:57:40.000Z",3192261796,"Settlers","ThrarThylnenfallën","modified","E","95× Screaming Essence of Greed"
"2024-09-19T22:57:40.000Z",3192261795,"Settlers","ThrarThylnenfallën","modified","E","82× Screaming Essence of Woe"
"2024-09-19T22:57:40.000Z",3192261788,"Settlers","ThrarThylnenfallën","modified","$","91× Glassblower's Bauble"
"2024-09-19T22:57:40.000Z",3192261781,"Settlers","ThrarThylnenfallën","modified","$","24× Tainted Chromatic Orb"
"2024-09-19T22:57:39.000Z",3192261773,"Settlers","ThrarThylnenfallën","modified","F","38× Ambush Scarab"
"2024-09-19T22:57:39.000Z",3192261772,"Settlers","ThrarThylnenfallën","modified","D","73× Simulacrum Splinter"
"2024-09-19T22:57:39.000Z",3192261764,"Settlers","ThrarThylnenfallën","added","D","Jeweller's Delirium Orb"
"2024-09-19T22:57:39.000Z",3192261755,"Settlers","ThrarThylnenfallën","modified","O","3× Black Oil"
"2024-09-19T22:57:38.000Z",3192261746,"Settlers","ThrarThylnenfallën","modified","O","46× Teal Oil"
"2024-09-19T22:57:38.000Z",3192261745,"Settlers","ThrarThylnenfallën","modified","D","4× The Twins"
"2024-09-19T22:57:38.000Z",3192261739,"Settlers","ThrarThylnenfallën","modified","D","5× Prosperity"
"2024-09-19T22:57:38.000Z",3192261738,"Settlers","ThrarThylnenfallën","removed","F","91× Splinter of Tul"
"2024-09-19T22:57:38.000Z",3192261737,"Settlers","ThrarThylnenfallën","modified","F","7× Tul's Breachstone"
"2024-09-19T22:57:37.000Z",3192261724,"Settlers","ThrarThylnenfallën","modified","$","308× Lesser Eldritch Ember"
"2024-09-19T22:57:37.000Z",3192261717,"Settlers","ThrarThylnenfallën","modified","$","206× Blessed Orb"
"2024-09-19T22:57:37.000Z",3192261708,"Settlers","ThrarThylnenfallën","modified","$","383× Enkindling Orb"
"2024-09-19T22:57:37.000Z",3192261698,"Settlers","ThrarThylnenfallën","modified","D","9× The Trial"
"2024-09-19T22:57:36.000Z",3192261680,"Settlers","ThrarThylnenfallën","modified","$","2038× Armourer's Scrap"
"2024-09-19T22:57:36.000Z",3192261671,"Settlers","ThrarThylnenfallën","modified","$","2× Sacred Orb"
"2024-09-19T22:57:35.000Z",3192261663,"Settlers","ThrarThylnenfallën","modified","$","1833× Orb of Alchemy"
"2024-09-19T22:57:35.000Z",3192261656,"Settlers","ThrarThylnenfallën","modified","$","295× Orb of Regret"
"2024-09-19T22:57:35.000Z",3192261655,"Settlers","ThrarThylnenfallën","modified","$","3561× Orb of Transmutation"
"2024-09-19T22:57:35.000Z",3192261645,"Settlers","ThrarThylnenfallën","modified","$","85× Orb of Unmaking"
"2024-09-19T22:57:35.000Z",3192261631,"Settlers","ThrarThylnenfallën","modified","$","4000× Jeweller's Orb"
"2024-09-19T22:57:35.000Z",3192261630,"Settlers","ThrarThylnenfallën","modified","$","131× Cartographer's Chisel"
"2024-09-19T22:57:34.000Z",3192261621,"Settlers","ThrarThylnenfallën","modified","O","218× Clear Oil"
"2024-09-19T22:57:34.000Z",3192261620,"Settlers","ThrarThylnenfallën","modified","O","167× Sepia Oil"
"2024-09-19T22:57:34.000Z",3192261619,"Settlers","ThrarThylnenfallën","modified","D","5× The Witch"
"2024-09-19T22:57:34.000Z",3192261609,"Settlers","ThrarThylnenfallën","modified","F","85× Harvest Scarab"
"2024-09-19T22:57:33.000Z",3192261592,"Settlers","ThrarThylnenfallën","modified","$","3077× Orb of Fusing"
"2024-09-19T22:57:33.000Z",3192261586,"Settlers","ThrarThylnenfallën","modified","$","488× Orb of Scouring"
"2024-09-19T22:57:33.000Z",3192261581,"Settlers","ThrarThylnenfallën","modified","$","4567× Orb of Augmentation"
"2024-09-19T22:57:32.000Z",3192261579,"Settlers","ThrarThylnenfallën","modified","$","455× Orb of Horizons"
"2024-09-19T22:57:32.000Z",3192261570,"Settlers","ThrarThylnenfallën","modified","$","279× Vaal Orb"
"2024-09-19T22:56:42.000Z",3192260737,"Settlers","DrScramble","added","U","Windripper Imperial Bow"
"2024-09-19T22:56:31.000Z",3192260592,"Settlers","DrScramble","added","4","2× Exotic Coinage"
"2024-09-19T22:56:31.000Z",3192260582,"Settlers","DrScramble","removed","4","2× Exotic Coinage"
"2024-09-19T22:56:29.000Z",3192260565,"Settlers","DrScramble","added","4","2× Exotic Coinage"
"2024-09-19T22:56:26.000Z",3192260538,"Settlers","DrScramble","modified","F","28× Horned Scarab of Nemeses"
"2024-09-19T22:56:26.000Z",3192260534,"Settlers","DrScramble","modified","$","2132× Blacksmith's Whetstone"
"2024-09-19T22:56:26.000Z",3192260532,"Settlers","DrScramble","modified","$","382× Enkindling Orb"
"2024-09-19T22:56:25.000Z",3192260530,"Settlers","DrScramble","modified","F","37× Scarab of Divinity"
"2024-09-19T22:56:25.000Z",3192260526,"Settlers","DrScramble","modified","$","855× Chaos Orb"
"2024-09-19T22:56:24.000Z",3192260521,"Settlers","DrScramble","modified","$","3998× Jeweller's Orb"
"2024-09-19T22:56:24.000Z",3192260520,"Settlers","DrScramble","modified","$","278× Vaal Orb"
"2024-09-19T22:56:24.000Z",3192260517,"Settlers","DrScramble","modified","$","225× Regal Orb"
"2024-09-19T22:56:23.000Z",3192260516,"Settlers","DrScramble","modified","F","98× Ritual Scarab of Selectiveness"
"2024-09-19T22:56:23.000Z",3192260515,"Settlers","DrScramble","modified","F","44× Titanic Scarab of Legend"
"2024-09-19T22:56:23.000Z",3192260511,"Settlers","DrScramble","modified","$","3978× Jeweller's Orb"
"2024-09-19T22:56:23.000Z",3192260507,"Settlers","DrScramble","modified","F","5× Domination Scarab"
"2024-09-19T22:56:22.000Z",3192260503,"Settlers","DrScramble","modified","$","59× Gemcutter's Prism"
"2024-09-19T22:56:22.000Z",3192260501,"Settlers","DrScramble","modified","$","1827× Orb of Alchemy"
"2024-09-19T22:56:22.000Z",3192260497,"Settlers","DrScramble","modified","$","1828× Orb of Alteration"
