Date,League,Account,Action,Stash,Item
"03/01/2024 14:13:15","Affliction","ErZil","modified","$","22× Vaal Scouting Report"
"03/01/2024 14:13:13","Affliction","ErZil","removed","$","6× Singular Scouting Report"
"03/01/2024 14:13:12","Affliction","ErZil","modified","$","2× Vaal Scouting Report"
"03/01/2024 14:12:03","Affliction","ErZil","modified","$","13× Alteration Shard"
"03/01/2024 14:11:38","Affliction","ErZil","modified","$","3× Orb of Conflict"
"03/01/2024 14:11:38","Affliction","ErZil","added","$","Elevated Sextant"
"03/01/2024 14:06:47","Affliction","ErZil","removed","F","The Maven's Writ"
"03/01/2024 14:05:17","Affliction","ErZil","modified","$","20× Gemcutter's Prism"
"03/01/2024 14:05:15","Affliction","ErZil","modified","$","19× Gemcutter's Prism"
"03/01/2024 14:03:05","Affliction","ErZil","modified","$","88× Divine Orb"
"03/01/2024 14:02:34","Affliction","ErZil","modified","$","92× Divine Orb"
"03/01/2024 13:56:03","Affliction","ErZil","modified","F","27× Rusted Shaper Scarab"
"03/01/2024 13:56:02","Affliction","ErZil","modified","F","6× Fragment of the Hydra"
"03/01/2024 13:56:02","Affliction","ErZil","added","G","level 1 0% Awakened Swift Affliction Support"
"03/01/2024 13:56:02","Affliction","ErZil","modified","$","59× Orb of Unmaking"
"03/01/2024 13:56:02","Affliction","ErZil","removed","F","6× Crescent Splinter"
"03/01/2024 13:56:02","Affliction","ErZil","added","F","The Maven's Writ"
"03/01/2024 13:55:08","Affliction","ErZil","modified","$","2932× Orb of Alteration"
"03/01/2024 13:55:08","Affliction","ErZil","modified","$","4322× Orb of Transmutation"
"03/01/2024 13:55:08","Affliction","ErZil","modified","$","201× Orb of Scouring"
"03/01/2024 13:55:01","Affliction","ErZil","modified","$","2913× Orb of Alteration"
"03/01/2024 13:55:00","Affliction","ErZil","modified","$","4283× Orb of Transmutation"
"03/01/2024 13:54:59","Affliction","ErZil","modified","$","172× Orb of Scouring"
"03/01/2024 13:54:56","Affliction","ErZil","removed","F","Entropy Summons Maven's Invitation: The Formed"
"03/01/2024 13:54:50","Affliction","ErZil","added","M","Shore Map (T6)"
"03/01/2024 13:54:50","Affliction","ErZil","modified","$","342× Orb of Horizons"
